Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted
296,9.000000000000015e-06,0.362,0.359
297,0.015375999999999999,0.296,0.42
298,0.015375999999999999,0.304,0.428
299,9.000000000000015e-06,0.371,0.368
300,9.000000000000015e-06,0.358,0.355
301,0.015375999999999999,0.304,0.428
302,0.015375999999999999,0.287,0.411
303,0.015375999999999999,0.3,0.424
304,9.000000000000015e-06,0.366,0.363
305,0.015375999999999999,0.295,0.419
306,0.015375999999999999,0.298,0.422
307,0.015375999999999999,0.3,0.424
308,9.000000000000015e-06,0.36,0.357
309,9.000000000000015e-06,0.371,0.368
310,0.015375999999999999,0.305,0.429
311,0.015375999999999999,0.303,0.427
312,9.000000000000015e-06,0.376,0.373
313,9.000000000000015e-06,0.367,0.364
314,0.015375999999999999,0.291,0.415
315,0.015375999999999999,0.295,0.419
316,9.000000000000015e-06,0.371,0.368
317,0.015375999999999999,0.304,0.428
318,0.015375999999999999,0.29,0.414
319,9.000000000000015e-06,0.358,0.355
320,0.015375999999999999,0.302,0.426
321,9.000000000000015e-06,0.364,0.361
322,0.015375999999999999,0.299,0.423
323,9.000000000000015e-06,0.378,0.375
324,0.015375999999999999,0.303,0.427
325,9.000000000000015e-06,0.349,0.346
326,0.015375999999999999,0.301,0.425
327,0.015375999999999999,0.304,0.428
328,0.015375999999999999,0.308,0.432
329,0.015375999999999999,0.307,0.431
330,9.000000000000015e-06,0.365,0.362
331,9.000000000000015e-06,0.367,0.364
332,0.015375999999999999,0.296,0.42
333,9.000000000000015e-06,0.366,0.363
334,9.000000000000015e-06,0.371,0.368
335,9.000000000000015e-06,0.373,0.37
336,0.015375999999999999,0.299,0.423
337,9.000000000000015e-06,0.358,0.355
338,0.015375999999999999,0.3,0.424
339,9.000000000000015e-06,0.374,0.371
340,9.000000000000015e-06,0.371,0.368
341,0.015375999999999999,0.306,0.43
342,9.000000000000015e-06,0.358,0.355
343,9.000000000000015e-06,0.363,0.36
344,9.000000000000015e-06,0.36,0.357
345,9.000000000000015e-06,0.372,0.369
346,0.015375999999999999,0.3,0.424
347,0.015375999999999999,0.301,0.425
348,9.000000000000015e-06,0.366,0.363
349,0.015375999999999999,0.303,0.427
350,9.000000000000015e-06,0.362,0.359
351,0.015375999999999999,0.297,0.421
352,9.000000000000015e-06,0.369,0.366
353,0.015375999999999999,0.3,0.424
354,0.015375999999999999,0.3,0.424
355,9.000000000000015e-06,0.362,0.359
356,9.000000000000015e-06,0.37,0.367
357,0.015375999999999999,0.304,0.428
358,9.000000000000015e-06,0.36,0.357
359,9.000000000000015e-06,0.355,0.352
360,0.015375999999999999,0.293,0.417
361,9.000000000000015e-06,0.356,0.353
362,9.000000000000015e-06,0.366,0.363
363,9.000000000000015e-06,0.37,0.367
364,9.000000000000015e-06,0.361,0.358
365,9.000000000000015e-06,0.351,0.348
366,0.015375999999999999,0.304,0.428
367,9.000000000000015e-06,0.36,0.357
368,9.000000000000015e-06,0.379,0.376
369,9.000000000000015e-06,0.362,0.359
370,9.000000000000015e-06,0.365,0.362
371,9.000000000000015e-06,0.369,0.366
372,9.000000000000015e-06,0.374,0.371
373,9.000000000000015e-06,0.374,0.371
374,9.000000000000015e-06,0.368,0.365
375,8.999999999999683e-06,0.345,0.342
376,9.000000000000015e-06,0.36,0.357
377,0.015375999999999999,0.307,0.431
378,0.015375999999999999,0.302,0.426
379,9.000000000000015e-06,0.37,0.367
380,9.000000000000015e-06,0.372,0.369
381,9.000000000000015e-06,0.367,0.364
382,0.015375999999999999,0.296,0.42
383,0.015375999999999999,0.29,0.414
384,9.000000000000015e-06,0.36,0.357
385,9.000000000000015e-06,0.376,0.373
386,9.000000000000015e-06,0.36,0.357
387,9.000000000000015e-06,0.367,0.364
388,9.000000000000015e-06,0.366,0.363
389,9.000000000000015e-06,0.37,0.367
390,9.000000000000015e-06,0.365,0.362
391,9.000000000000015e-06,0.374,0.371
392,9.000000000000015e-06,0.38,0.377
393,9.000000000000015e-06,0.375,0.372
394,0.015375999999999999,0.302,0.426
395,9.000000000000015e-06,0.374,0.371
396,9.000000000000015e-06,0.367,0.364
397,9.000000000000015e-06,0.369,0.366
398,0.015375999999999999,0.296,0.42
399,0.015375999999999999,0.289,0.413
400,0.015375999999999999,0.309,0.433
401,0.015375999999999999,0.299,0.423
402,9.000000000000015e-06,0.371,0.368
403,9.000000000000015e-06,0.374,0.371
404,0.015375999999999999,0.296,0.42
405,9.000000000000015e-06,0.375,0.372
406,9.000000000000015e-06,0.374,0.371
407,9.000000000000015e-06,0.372,0.369
408,0.015376000000000013,0.282,0.406
409,0.015375999999999999,0.303,0.427
410,0.015375999999999999,0.289,0.413
411,0.015375999999999999,0.3,0.424
412,9.000000000000015e-06,0.378,0.375
413,0.015375999999999999,0.301,0.425
414,0.015375999999999999,0.299,0.423
415,0.015375999999999999,0.304,0.428
416,0.015375999999999999,0.296,0.42
417,0.015375999999999999,0.3,0.424
418,0.015375999999999999,0.281,0.405
419,0.015375999999999999,0.302,0.426
420,0.015375999999999999,0.302,0.426
421,0.015375999999999999,0.301,0.425
422,9.000000000000015e-06,0.352,0.349
423,9.000000000000015e-06,0.351,0.348
424,9.000000000000015e-06,0.369,0.366
425,9.000000000000015e-06,0.375,0.372
426,0.015375999999999999,0.304,0.428
427,0.015375999999999999,0.305,0.429
428,0.015375999999999999,0.303,0.427
429,0.015375999999999999,0.299,0.423
430,9.000000000000015e-06,0.37,0.367
431,9.000000000000015e-06,0.374,0.371
432,0.015375999999999999,0.301,0.425
433,9.000000000000015e-06,0.374,0.371
434,9.000000000000015e-06,0.373,0.37
435,9.000000000000015e-06,0.365,0.362
436,0.015375999999999999,0.303,0.427
437,9.000000000000015e-06,0.372,0.369
438,0.015375999999999999,0.303,0.427
439,9.000000000000015e-06,0.369,0.366
440,0.015375999999999999,0.299,0.423
441,9.000000000000015e-06,0.371,0.368
442,9.000000000000015e-06,0.351,0.348
443,9.000000000000015e-06,0.377,0.374
444,9.000000000000015e-06,0.367,0.364
445,9.000000000000015e-06,0.38,0.377
446,8.999999999999683e-06,0.346,0.343
447,9.000000000000015e-06,0.368,0.365
448,0.015375999999999999,0.305,0.429
449,0.015375999999999999,0.296,0.42
450,0.015375999999999999,0.303,0.427
451,9.000000000000015e-06,0.378,0.375
452,9.000000000000015e-06,0.372,0.369
453,0.015375999999999999,0.303,0.427
454,9.000000000000015e-06,0.36,0.357
455,0.015375999999999999,0.285,0.409
456,9.000000000000015e-06,0.368,0.365
457,0.015375999999999999,0.308,0.432
458,9.000000000000015e-06,0.374,0.371
459,9.000000000000015e-06,0.366,0.363
460,0.015375999999999999,0.299,0.423
461,0.016900000000000002,0.414,0.284
462,9.000000000000015e-06,0.372,0.369
463,0.015375999999999999,0.304,0.428
464,9.000000000000015e-06,0.378,0.375
465,9.000000000000015e-06,0.377,0.374
466,9.000000000000015e-06,0.359,0.356
467,9.000000000000015e-06,0.361,0.358
468,9.000000000000015e-06,0.358,0.355
469,9.000000000000015e-06,0.367,0.364
470,9.000000000000015e-06,0.368,0.365
471,0.015375999999999999,0.298,0.422
472,0.015375999999999999,0.304,0.428
473,0.015375999999999999,0.306,0.43
474,9.000000000000015e-06,0.377,0.374
475,0.015375999999999999,0.302,0.426
476,9.000000000000015e-06,0.36,0.357
477,9.000000000000015e-06,0.374,0.371
478,9.000000000000015e-06,0.372,0.369
479,9.000000000000015e-06,0.375,0.372
480,0.016899999999999988,0.411,0.281
481,9.000000000000015e-06,0.365,0.362
482,9.000000000000015e-06,0.379,0.376
483,9.000000000000015e-06,0.36,0.357
484,0.015375999999999999,0.301,0.425
485,9.000000000000015e-06,0.362,0.359
486,9.000000000000015e-06,0.362,0.359
487,9.000000000000015e-06,0.373,0.37
488,0.015375999999999999,0.299,0.423
489,9.000000000000015e-06,0.371,0.368
490,9.000000000000015e-06,0.359,0.356
491,9.000000000000015e-06,0.367,0.364
492,9.000000000000015e-06,0.379,0.376
493,0.015375999999999999,0.301,0.425
494,0.015375999999999999,0.303,0.427
495,0.015375999999999999,0.298,0.422
496,9.000000000000015e-06,0.378,0.375
497,9.000000000000015e-06,0.371,0.368
498,9.000000000000015e-06,0.372,0.369
499,9.000000000000015e-06,0.362,0.359
500,9.000000000000015e-06,0.373,0.37
501,0.015375999999999999,0.306,0.43
502,0.015375999999999999,0.302,0.426
503,9.000000000000015e-06,0.373,0.37
504,9.000000000000015e-06,0.373,0.37
505,0.015375999999999999,0.289,0.413
506,9.000000000000015e-06,0.359,0.356
507,9.000000000000015e-06,0.368,0.365
508,9.000000000000015e-06,0.363,0.36
509,0.015375999999999999,0.294,0.418
510,9.000000000000015e-06,0.358,0.355
511,0.015375999999999999,0.302,0.426
512,0.015375999999999999,0.299,0.423
513,0.015375999999999999,0.303,0.427
514,9.000000000000015e-06,0.371,0.368
515,9.000000000000015e-06,0.368,0.365
516,0.015375999999999999,0.303,0.427
517,0.015375999999999999,0.297,0.421
518,0.015375999999999999,0.305,0.429
519,0.015375999999999999,0.3,0.424
520,0.015375999999999999,0.305,0.429
521,0.015375999999999999,0.304,0.428
522,9.000000000000015e-06,0.37,0.367
523,9.000000000000015e-06,0.376,0.373
524,9.000000000000015e-06,0.368,0.365
525,0.015375999999999999,0.304,0.428
526,9.000000000000015e-06,0.359,0.356
527,0.015375999999999999,0.305,0.429
528,9.000000000000015e-06,0.362,0.359
529,0.015375999999999999,0.301,0.425
530,0.015375999999999999,0.304,0.428
531,0.015375999999999999,0.303,0.427
532,0.015375999999999999,0.303,0.427
533,9.000000000000015e-06,0.373,0.37
534,9.000000000000015e-06,0.364,0.361
535,0.015375999999999999,0.3,0.424
536,0.015375999999999999,0.301,0.425
537,9.000000000000015e-06,0.365,0.362
538,9.000000000000015e-06,0.363,0.36
539,0.015375999999999999,0.3,0.424
540,9.000000000000015e-06,0.367,0.364
541,0.015375999999999999,0.302,0.426
542,9.000000000000015e-06,0.365,0.362
543,0.015375999999999999,0.301,0.425
544,9.000000000000015e-06,0.369,0.366
545,9.000000000000015e-06,0.362,0.359
546,9.000000000000015e-06,0.365,0.362
547,0.015375999999999999,0.305,0.429
