Run,Efficiency_Gap,Party 0_Wasted,Party 1_Wasted,Party 2_Wasted,Party 3_Wasted
391,0.29040799999999994,0.301,0.29,0.036,0.017
392,0.30547599999999997,0.305,0.3,0.036,0.017
393,0.29666,0.299,0.298,0.036,0.017
394,0.320019,0.312,0.306,0.036,0.017
395,0.294728,0.303,0.292,0.036,0.017
396,0.31306399999999995,0.242,0.349,0.036,0.017
397,0.31218399999999996,0.309,0.302,0.036,0.017
398,0.304323,0.302,0.302,0.036,0.017
399,0.295699,0.302,0.294,0.036,0.017
400,0.308875,0.308,0.3,0.036,0.017
401,0.337091,0.366,0.238,0.036,0.017
402,0.31776299999999996,0.311,0.305,0.036,0.017
403,0.33030799999999993,0.361,0.24,0.036,0.017
404,0.320019,0.312,0.306,0.036,0.017
405,0.293795,0.304,0.29,0.036,0.017
406,0.312088,0.306,0.305,0.036,0.017
407,0.291755,0.304,0.288,0.036,0.017
408,0.32437099999999996,0.358,0.238,0.036,0.017
409,0.34495500000000007,0.369,0.243,0.036,0.017
410,0.29453599999999996,0.3,0.295,0.036,0.017
411,0.354979,0.374,0.246,0.036,0.017
412,0.29248399999999997,0.301,0.292,0.036,0.017
413,0.32559499999999997,0.358,0.24,0.036,0.017
414,0.29675599999999996,0.302,0.295,0.036,0.017
415,0.30445099999999997,0.306,0.298,0.036,0.017
416,0.33607499999999996,0.365,0.239,0.036,0.017
417,0.34658000000000005,0.37,0.243,0.036,0.017
418,0.304323,0.302,0.302,0.036,0.017
419,0.323396,0.313,0.308,0.036,0.017
420,0.335684,0.364,0.241,0.036,0.017
421,0.34924299999999997,0.372,0.242,0.036,0.017
422,0.29144299999999995,0.301,0.291,0.036,0.017
423,0.336676,0.365,0.24,0.036,0.017
424,0.30005899999999996,0.304,0.296,0.036,0.017
425,0.323364,0.312,0.309,0.036,0.017
426,0.30660299999999996,0.306,0.3,0.036,0.017
427,0.294728,0.303,0.292,0.036,0.017
428,0.32994,0.363,0.234,0.036,0.017
429,0.295643,0.301,0.295,0.036,0.017
430,0.293531,0.301,0.293,0.036,0.017
431,0.31241899999999995,0.241,0.349,0.036,0.017
432,0.30104400000000003,0.302,0.299,0.036,0.017
433,0.31306399999999995,0.242,0.349,0.036,0.017
434,0.30332,0.305,0.298,0.036,0.017
435,0.29040799999999994,0.301,0.29,0.036,0.017
436,0.33870799999999995,0.367,0.238,0.036,0.017
437,0.315571,0.311,0.303,0.036,0.017
438,0.308875,0.308,0.3,0.036,0.017
439,0.31213599999999997,0.308,0.303,0.036,0.017
440,0.30665899999999996,0.307,0.299,0.036,0.017
441,0.304395,0.305,0.299,0.036,0.017
442,0.33189099999999994,0.362,0.24,0.036,0.017
443,0.304395,0.305,0.299,0.036,0.017
444,0.29234,0.298,0.295,0.036,0.017
445,0.324744,0.359,0.236,0.036,0.017
446,0.33328399999999997,0.364,0.237,0.036,0.017
447,0.31772300000000003,0.31,0.306,0.036,0.017
448,0.302195,0.304,0.298,0.036,0.017
449,0.30547599999999997,0.305,0.3,0.036,0.017
450,0.298936,0.303,0.296,0.036,0.017
451,0.31213599999999997,0.308,0.303,0.036,0.017
452,0.342547,0.369,0.239,0.036,0.017
453,0.351699,0.372,0.246,0.036,0.017
454,0.31781899999999996,0.312,0.304,0.036,0.017
455,0.341723,0.367,0.243,0.036,0.017
456,0.3078,0.308,0.299,0.036,0.017
457,0.31306399999999995,0.242,0.349,0.036,0.017
458,0.335684,0.364,0.241,0.036,0.017
459,0.309876,0.306,0.303,0.036,0.017
460,0.320019,0.312,0.306,0.036,0.017
461,0.314372,0.309,0.304,0.036,0.017
462,0.30558799999999997,0.307,0.298,0.036,0.017
463,0.334779,0.366,0.234,0.036,0.017
464,0.31241899999999995,0.241,0.349,0.036,0.017
465,0.316616,0.31,0.305,0.036,0.017
466,0.30332,0.305,0.298,0.036,0.017
467,0.324515,0.313,0.309,0.036,0.017
468,0.31241899999999995,0.241,0.349,0.036,0.017
469,0.299931,0.3,0.3,0.036,0.017
470,0.33316,0.365,0.234,0.036,0.017
471,0.306563,0.305,0.301,0.036,0.017
472,0.334379,0.362,0.244,0.036,0.017
473,0.30552399999999996,0.306,0.299,0.036,0.017
474,0.313235,0.308,0.304,0.036,0.017
475,0.299,0.304,0.295,0.036,0.017
476,0.30107599999999995,0.303,0.298,0.036,0.017
477,0.32593999999999995,0.359,0.238,0.036,0.017
478,0.350068,0.371,0.246,0.036,0.017
479,0.31327499999999997,0.309,0.303,0.036,0.017
480,0.327956,0.315,0.31,0.036,0.017
481,0.316616,0.31,0.305,0.036,0.017
482,0.298856,0.301,0.298,0.036,0.017
483,0.35396299999999997,0.373,0.247,0.036,0.017
484,0.327779,0.359,0.241,0.036,0.017
485,0.29493600000000003,0.305,0.29,0.036,0.017
486,0.31327499999999997,0.309,0.303,0.036,0.017
487,0.34434399999999993,0.369,0.242,0.036,0.017
488,0.31448400000000004,0.311,0.302,0.036,0.017
489,0.30552399999999996,0.306,0.299,0.036,0.017
